類型代號,計價幣別,基金統編,基金名稱,基金規模(台幣),基金規模市場占有率,單位淨值(台幣),受益權單位數,自然人受益人數,法人受益人數,總受益人數,本年申購總金額(台幣),本年買回總金額(台幣),年分
AA2,TWD,48733897,保誠亞太高股息基金,"1,915,963,320",0.10%,11.94,"160,447,384.00","4,828",55,"4,883","657,213,945","1,219,307,491",2010.0
AE22,TWD,48801000,保誠精選傘型基金之債券精選組合基金,"4,729,564,671",0.25%,11.2859,"419,069,908.80",570,88,658,"7,185,792,109","5,061,179,416",2010.0
AE21,TWD,48801016,保誠精選傘型基金之趨勢精選組合基金,"443,743,292",0.02%,11.35,"39,096,830.60",391,29,420,"151,192,023","275,689,243",2010.0
AG,TWD,48836541A,保誠亞太不動產證券化基金A類型,"3,147,286,710",0.17%,7.17,"438,836,204.60","1,183",49,"1,232","956,459,089","2,289,033,661",2010.0
AG,TWD,48836541B,保誠亞太不動產證券化基金B類型,"542,181,878",0.03%,7.03,"77,121,557.20",455,26,481,"41,360,279","197,643,352",2010.0
AA2,TWD,48885958,保誠亞太基礎建設基金,"3,820,706,522",0.20%,11.05,"345,769,240.50","3,466",54,"3,520","975,788,275","3,999,144,026",2010.0
AA1,TWD,81595924,保誠中小型股基金,"1,539,970,884",0.08%,14.25,"108,105,650.10","6,092",47,"6,139","778,194,060","1,107,807,884",2010.0
AD1,TWD,83867345,保誠威寶貨幣市場基金,"50,655,842,699",2.67%,13.0255,"3,888,986,369.10","1,160",266,"1,426","119,921,655,638","121,936,153,162",2010.0
AA1,TWD,92003102,保誠高科技基金,"2,245,258,759",0.12%,41.0,"54,767,742.30","6,313",45,"6,358","762,204,864","1,100,214,954",2010.0
AA1,TWD,92012572,保誠外銷基金,"5,287,440,409",0.28%,28.04,"188,592,011.70","1,971",47,"2,018","2,615,430,250","3,973,563,515",2010.0
AA1,TWD,97978102,保誠掌櫃基金,"645,284,388",0.03%,14.11,"45,729,062.60","2,543",38,"2,581","186,888,574","272,958,372",2010.0
AA1,TWD,97990696,保誠菁華基金,"1,468,146,699",0.08%,17.41,"84,330,386.30","3,050",35,"3,085","783,428,332","1,161,823,395",2010.0
AB1,TWD,99360224,保誠理財通三號基金,"284,309,454",0.02%,9.0733,"31,334,836.70",62,15,77,"70,413,033","112,388,983",2010.0
AE23,TWD,99967806,保誠質量精選組合基金,"2,320,424,504",0.12%,11.0233,"210,501,198.40",365,30,395,"600,549,110","1,809,878,128",2010.0
保誠投信,,,,"114,002,716,074",6.01%,,"8,665,548,832.70","62,510","1,263","63,773","158,885,719,213","166,095,425,582",2010.0
AA1,TWD,01032183,保德信高成長基金,"6,848,454,673",0.36%,69.83,"98,071,061.00","18,181",74,"18,255","2,630,849,516","3,824,208,401",2010.0
AA2,TWD,10307155,保德信全球消費商機基金,"639,893,939",0.03%,10.56,"60,595,199.70","1,749",31,"1,780","225,723,827","698,905,952",2010.0
AA1,TWD,13528977,保德信台商全方位基金,"2,214,855,759",0.12%,25.24,"87,740,311.10","4,659",54,"4,713","469,315,825","1,042,801,886",2010.0
AA2,TWD,14692638,保德信全球醫療生化基金,"3,848,583,678",0.20%,17.89,"215,175,335.20","6,256",52,"6,308","897,980,377","1,035,565,577",2010.0
AA1,TWD,17602625,保德信新世紀基金,"1,677,549,143",0.09%,8.38,"200,233,085.60","13,230",50,"13,280","457,691,299","424,804,495",2010.0
AA2,TWD,17611791,保德信日韓基金,"386,319,845",0.02%,10.02,"38,563,366.10","2,873",41,"2,914","64,065,585","142,641,411",2010.0
AB1,TWD,18044064,保德信金平衡基金,"682,657,083",0.04%,22.73,"30,027,975.80","1,222",49,"1,271","351,985,872","625,147,789",2010.0
AC12,TWD,20089122,保德信瑞騰基金,"4,139,858,857",0.22%,14.8804,"278,208,038.31",590,55,645,"3,081,912,748","3,467,341,622",2010.0
AA1,TWD,20097447,保德信第一基金,"1,387,636,776",0.07%,19.67,"70,530,409.80","3,835",46,"3,881","277,539,322","512,786,638",2010.0
AA2,TWD,25618488,保德信全球優質股息成長基金,"1,116,519,757",0.06%,9.73,"114,751,414.10","1,390",31,"1,421","62,492,133","2,619,933,841",2010.0
AA2,TWD,25674811,保德信拉丁美洲基金,"2,087,140,992",0.11%,11.34,"183,971,733.70","7,200",42,"7,242","4,877,064,030","3,135,837,722",2010.0
AC21,TWD,26263055,保德信新興市場債券基金,"8,014,461,639",0.42%,10.1745,"787,699,323.82","2,976",108,"3,084","7,881,537,350",0,2010.0
AE22,TWD,48688083,保德信全球債券組合基金,"931,833,482",0.05%,12.1342,"76,793,860.40",630,48,678,"1,210,660,094","2,058,890,491",2010.0
AA2,TWD,48745042,保德信日本基金,"482,898,488",0.03%,6.9,"70,027,742.10","2,006",28,"2,034","144,461,051","186,044,844",2010.0
AE23,TWD,48803942,保德信新興趨勢組合基金,"2,974,317,655",0.16%,13.02,"228,436,745.00","8,973",58,"9,031","1,315,095,098","1,476,325,060",2010.0
AE23,TWD,48844280,保德信歐洲組合基金,"963,046,830",0.05%,8.59,"112,169,269.70","3,998",36,"4,034","88,999,865","307,097,619",2010.0
AA2,TWD,48938250,保德信全球資源基金,"4,341,659,596",0.23%,9.59,"452,883,744.40","13,839",57,"13,896","2,001,916,024","2,377,584,569",2010.0
AA2,TWD,48970455,保德信全球基礎建設基金,"974,136,564",0.05%,7.95,"122,468,661.50","3,301",40,"3,341","123,137,535","484,496,384",2010.0
AA1,TWD,73990649,保德信科技島基金,"2,506,640,367",0.13%,18.65,"134,439,479.70","12,126",52,"12,178","434,068,552","810,786,999",2010.0
AA2,TWD,73998065,保德信大中華基金,"4,485,066,783",0.24%,24.71,"181,487,237.10","10,089",74,"10,163","2,153,434,640","2,591,091,442",2010.0
AA1,TWD,83866508,保德信中小型股基金,"3,207,005,734",0.17%,35.8,"89,569,684.00","6,072",64,"6,136","2,067,611,936","2,813,970,759",2010.0
AA1,TWD,92013967,保德信金滿意基金,"5,625,752,065",0.30%,32.35,"173,905,179.80","13,339",37,"13,376","815,923,150","1,043,110,186",2010.0
AA2,TWD,92029139,保德信亞太基金,"1,438,759,072",0.08%,20.25,"71,045,970.70","3,823",34,"3,857","244,620,484","392,700,791",2010.0
AD1,TWD,97978047,保德信債券基金,"18,235,807,266",0.96%,15.1801,"1,201,296,560.70","1,710",225,"1,935","54,512,439,091","69,250,233,353",2010.0
AA1,TWD,97988636,保德信店頭市場基金,"2,883,439,577",0.15%,26.05,"110,700,150.30","6,534",57,"6,591","1,037,338,746","1,985,484,908",2010.0
AA2,TWD,98755451,保德信全球中小基金,"939,009,222",0.05%,20.01,"46,920,254.00","2,799",46,"2,845","496,353,312","572,866,359",2010.0
AE21,TWD,99611329,保德信全球組合基金,"345,227,269",0.02%,12.77,"27,038,506.60","1,115",32,"1,147","47,479,394","167,325,330",2010.0
AE23,TWD,99975496,保德信全球平衡組合基金,"316,966,344",0.02%,11.57,"27,398,628.80",673,28,701,"146,363,178","200,145,639",2010.0
保德信投信,,,,"83,695,498,455",4.41%,,"5,292,148,929.03","155,188","1,549","156,737","88,118,060,034","104,248,130,067",2010.0
AA1,TWD,01031699,統一全天候基金,"1,312,120,068",0.07%,46.0,"28,524,763.67","4,595",32,"4,627","251,707,324","460,919,068",2010.0
AA1,TWD,17605622,統一大滿貫基金,"6,476,869,977",0.34%,17.88,"362,236,229.41","13,816",75,"13,891","5,439,903,174","7,014,667,382",2010.0
AA2,TWD,18030553,統一亞太基金,"895,607,167",0.05%,19.34,"46,299,968.75","3,178",46,"3,224","1,372,907,500","1,151,119,266",2010.0
AA2,TWD,25637393,統一大龍印基金,"1,451,879,885",0.08%,11.44,"126,966,895.42","8,323",34,"8,357","4,312,230,332","3,108,265,577",2010.0
AA2,TWD,26202889,統一大中華中小基金,"2,440,637,035",0.13%,10.54,"231,464,725.71","6,734",44,"6,778","5,351,389,548","3,244,744,990",2010.0
AE22,TWD,48783925,統一全球債券組合基金,"380,897,009",0.02%,10.4149,"36,572,304.54",299,26,325,"248,052,772","401,906,830",2010.0
AA2,TWD,48863201,統一強漢基金,"2,589,514,874",0.14%,14.03,"184,600,582.43","8,357",62,"8,419","1,847,294,187","2,694,066,603",2010.0
AA1,TWD,48934304,統一台灣動力基金,"1,535,035,721",0.08%,8.65,"177,384,742.98","3,658",37,"3,695","165,890,003","941,373,071",2010.0
AA1,TWD,73990253,統一奔騰基金,"1,978,562,179",0.10%,32.02,"61,790,093.73","4,605",49,"4,654","805,055,732","1,418,924,351",2010.0
AA1,TWD,77537493,統一統信基金,"1,022,020,645",0.05%,19.74,"51,779,599.22","4,171",38,"4,209","144,097,355","283,005,267",2010.0
AA1,TWD,81581724,統一經建基金,"962,315,564",0.05%,22.03,"43,684,838.62","2,843",43,"2,886","604,128,592","530,984,127",2010.0
AA1,TWD,92002244,統一黑馬基金,"1,307,009,048",0.07%,30.3,"43,134,118.20","3,310",43,"3,353","550,321,359","822,490,676",2010.0
AA1,TWD,92012762,統一龍馬基金,"1,027,562,708",0.05%,38.97,"26,366,048.42","2,966",38,"3,004","278,412,022","422,133,782",2010.0
AD1,TWD,92017176,統一強棒基金,"12,828,194,962",0.68%,16.0317,"800,177,209.40",974,176,"1,150","33,804,204,886","42,863,535,375",2010.0
AA1,TWD,97977878,統一中小基金,"1,087,114,788",0.06%,14.54,"74,762,510.21","4,275",41,"4,316","2,333,046,105","2,775,169,071",2010.0
統一投信,,,,"37,295,341,630",1.97%,,"2,295,744,630.71","72,104",784,"72,888","57,508,640,891","68,133,305,436",2010.0
AA1,TWD,00974018,富邦富邦基金,"4,462,337,864",0.24%,8.92,"500,000,000.00","5,421",50,"5,471",0,0,2010.0
AA1,TWD,10388939A,富邦台灣企業社會責任基金-A類型,"22,846,320",0.00%,13.16,"1,735,775.00",37,2,39,"33,331,047","11,608,424",2010.0
AA1,TWD,10388939B,富邦台灣企業社會責任基金-B類型,"135,469,692",0.01%,13.16,"10,292,492.30",380,15,395,"244,587,394","296,045,799",2010.0
AB1,TWD,13999857,富邦福寶基金,"167,699,806",0.01%,8.64,"19,415,759.60",603,18,621,"20,940,296","58,079,980",2010.0
AA1,TWD,17148301,富邦台灣心基金,"608,978,412",0.03%,12.9,"47,215,146.10","1,880",31,"1,911","330,444,843","506,600,330",2010.0
AA1,TWD,17153795,富邦價值基金,"524,648,431",0.03%,16.3,"32,179,475.80","1,638",34,"1,672","81,169,127","193,741,595",2010.0
AA1,TWD,17608445,富邦網路基金,"436,578,700",0.02%,8.52,"51,220,690.20","3,749",25,"3,774","62,641,005","142,844,223",2010.0
AA1,TWD,20089755,富邦精銳中小基金,"1,664,677,082",0.09%,9.37,"177,574,626.90","6,257",36,"6,293","896,621,209","813,703,931",2010.0
AE22,TWD,26202038,富邦丰益債券組合基金,"1,891,137,620",0.10%,9.7036,"194,889,620.40","1,270",31,"1,301","4,416,838,177","2,438,697,937",2010.0
AC21,TWD,26275812A,富邦全球投資等級債券基金-A類型,"5,577,140,863",0.29%,10.229,"545,227,714.00","1,140",38,"1,178","5,452,461,338",0,2010.0
AC21,TWD,26275812B,富邦全球投資等級債券基金-B類型,"2,317,094,729",0.12%,10.229,"226,521,920.20",78,10,88,"2,268,383,456",0,2010.0
AH1,TWD,48790067,富邦台灣科技指數基金,"650,987,893",0.03%,37.2,"17,500,000.00",810,20,830,0,"124,682,838",2010.0
AA2,TWD,48908684,富邦大中華成長基金,"1,147,992,100",0.06%,5.13,"223,938,481.50","4,596",43,"4,639","427,663,875","557,285,681",2010.0
AH1,TWD,48975156,富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,"8,935,152,507",0.47%,34.3,"260,527,000.00",202,19,221,"30,958,950,985","27,646,917,067",2010.0
AH1,TWD,48975162,富邦台灣ETF傘型基金之富邦台灣金融指數股票型基金,"408,598,378",0.02%,31.5,"12,973,000.00",217,16,233,0,"13,664,685",2010.0
AH1,TWD,48977083,富邦台灣ETF傘型基金之富邦台灣發達指數股票型基金,"347,182,228",0.02%,35.81,"9,696,000.00",149,10,159,"27,887,320","65,701,273",2010.0
AA1,TWD,81585475,富邦高成長基金,"2,068,919,066",0.11%,17.46,"118,467,897.10","5,084",50,"5,134","2,585,516,153","2,509,190,598",2010.0
AA1,TWD,83864683,富邦科技基金,"509,826,492",0.03%,21.34,"23,895,474.90","2,457",20,"2,477","74,344,786","142,319,243",2010.0
AA1,TWD,92002384,富邦精準基金,"3,292,756,323",0.17%,45.49,"72,377,088.60","5,872",37,"5,909","1,035,091,264","1,496,775,510",2010.0
AA1,TWD,92010477,富邦長紅基金,"1,542,404,631",0.08%,43.51,"35,448,492.20","3,140",38,"3,178","311,095,182","647,290,334",2010.0
AA1,TWD,92010770,富邦台灣鳳凰基金,"314,835,736",0.02%,593.43,"530,535.20",0,1,1,0,"1,817,065",2010.0
AA1,TWD,97974078,富邦冠軍基金,"485,400,385",0.03%,23.35,"20,792,381.40","1,033",30,"1,063","144,757,254","222,662,032",2010.0
AD1,TWD,97980579,富邦吉祥基金,"51,047,827,563",2.69%,15.0528,"3,391,259,748.50","1,061",241,"1,302","126,646,705,796","132,521,082,620",2010.0
AG,TWD,99991502,富邦全球不動產基金,"294,784,506",0.02%,6.9,"42,732,345.80",877,31,908,"38,136,792","67,298,230",2010.0
富邦投信,,,,"88,855,277,327",4.69%,,"6,036,411,665.70","47,951",846,"48,797","176,057,567,299","170,478,009,395",2010.0
AA1,TWD,00974039,摩根富林明JF台灣基金,"1,339,076,665",0.07%,9.59,"139,637,511.30","8,516",27,"8,543","237,758,026","481,182,701",2010.0
AA1,TWD,01032162,摩根富林明JF台灣增長基金,"3,057,620,071",0.16%,34.29,"89,174,686.80","7,762",63,"7,825","942,727,575","1,823,005,741",2010.0
AA2,TWD,10313109,摩根富林明JF東方內需機會基金,"2,670,936,013",0.14%,12.61,"211,804,692.10","9,275",63,"9,338","2,765,335,524","2,165,211,383",2010.0
AA2,TWD,10348445,摩根富林明JF金龍收成基金,"2,363,056,805",0.12%,15.98,"147,912,207.00","6,458",62,"6,520","1,873,527,225","2,770,836,922",2010.0
AB2,TWD,10348450,摩根富林明JF神龍平衡基金,"921,450,703",0.05%,12.25,"75,197,402.30","1,158",44,"1,202","455,196,268","736,091,648",2010.0
AA1,TWD,17144945,摩根富林明JF價值成長基金,"1,045,657,417",0.06%,13.84,"75,549,063.50","4,457",40,"4,497","149,859,776","333,558,742",2010.0
AA2,TWD,17612356,摩根富林明全球通網基金,"671,774,528",0.04%,3.89,"171,522,679.70","7,106",39,"7,145","61,336,836","148,746,280",2010.0
AB1,TWD,18036846,摩根富林明JF平衡基金,"4,750,562,660",0.25%,21.1,"225,186,302.50","6,150",93,"6,243","1,108,764,373","2,833,809,538",2010.0
AA2,TWD,20096209,摩根富林明JF東方科技基金,"3,905,242,855",0.21%,21.34,"181,541,189.80","16,613",50,"16,663","635,341,644","1,090,680,804",2010.0
AB2,TWD,21704027,摩根富林明JF亞太高息平衡基金,"1,472,923,745",0.08%,10.7667,"136,148,375.30","2,016",48,"2,064","1,169,418,497","1,368,388,807",2010.0
AA2,TWD,25610021,摩根富林明中美G2新勢力基金,"1,943,852,542",0.10%,9.76,"199,188,628.70","3,387",39,"3,426","257,450,844","3,084,684,188",2010.0
AA2,TWD,25627402,摩根富林明JF中國亮點基金,"7,043,669,289",0.37%,9.99,"704,939,722.40","9,282",72,"9,354","4,406,115,708","7,068,106,078",2010.0
AA1,TWD,25636367,摩根富林明JF台灣金磚基金,"1,242,158,273",0.07%,11.79,"105,340,560.50","4,340",39,"4,379","1,710,779,445","2,190,331,427",2010.0
AA2,TWD,25684986,摩根富林明新金磚五國基金,"2,818,838,071",0.15%,11.2,"251,598,146.30","11,864",58,"11,922","4,422,969,391","1,951,986,120",2010.0
AE22,TWD,26279269,摩根富林明總收益組合基金,"7,085,266,178",0.37%,10.0192,"707,170,124.20","2,005",81,"2,086","7,071,699,183",0,2010.0
AA2,TWD,29245757,摩根富林明全球α基金,"1,640,530,576",0.09%,11.66,"140,640,287.80","6,661",44,"6,705","580,262,166","792,326,239",2010.0
AC21,TWD,48693311A,摩根富林明全球債券基金-累積型,"819,578,543",0.04%,9.8649,"83,080,040.90",923,28,951,"1,154,055,230","583,883,686",2010.0
AC21,TWD,48693311B,摩根富林明全球債券基金-分配型,"179,790,911",0.01%,9.5535,"18,819,297.40",988,14,"1,002","50,850,654","91,308,285",2010.0
AA2,TWD,48727760,摩根富林明JF絕對日本基金,"1,512,723,835",0.08%,7.74,"193,265,608.30","5,569",39,"5,608","252,460,374","646,389,427",2010.0
AA2,TWD,48768614,摩根富林明新興35基金,"8,945,148,816",0.47%,12.41,"720,796,554.90","21,786",60,"21,846","3,261,376,104","4,678,831,312",2010.0
AA2,TWD,48860963,摩根富林明全球發現基金,"1,753,381,364",0.09%,8.48,"206,817,523.40","4,477",51,"4,528","851,850,608","1,135,561,008",2010.0
AA2,TWD,48929098,摩根富林明JF縱橫台商基金,"1,664,441,263",0.09%,8.97,"185,544,199.40","5,434",38,"5,472","157,021,577","725,129,532",2010.0
AA2,TWD,48974190,摩根富林明新絲路基金,"3,270,533,641",0.17%,8.87,"368,517,977.50","9,434",50,"9,484","1,184,714,704","1,655,202,767",2010.0
AA2,TWD,73980092,摩根富林明大歐洲基金,"3,609,046,818",0.19%,12.4,"287,253,367.90","23,464",51,"23,515","464,151,978","828,967,721",2010.0
AA1,TWD,73989501,摩根富林明JF中小基金,"3,007,003,836",0.16%,21.44,"140,281,544.00","10,013",51,"10,064","945,274,246","1,627,391,660",2010.0
AA2,TWD,92005896,摩根富林明JF新興日本基金,"1,327,647,817",0.07%,15.46,"84,784,856.60","7,005",48,"7,053","275,948,540","403,768,544",2010.0
AA1,TWD,92012025,摩根富林明JF新興科技基金,"6,669,049,690",0.35%,37.41,"178,289,361.70","21,862",56,"21,918","1,657,772,505","2,850,500,462",2010.0
AD1,TWD,92016991,摩根富林明JF台灣債券基金,"17,217,831,416",0.91%,15.8204,"1,088,333,875.20","1,664",108,"1,772","26,151,616,797","26,651,279,787",2010.0
AA2,TWD,92023780,摩根富林明JF亞洲基金,"8,836,330,168",0.47%,41.53,"212,780,646.90","21,191",81,"21,272","2,308,770,294","3,414,756,011",2010.0
AD1,TWD,97991668,摩根富林明JF第一債券基金,"6,441,305,912",0.34%,14.5735,"441,987,312.20","2,076",84,"2,160","14,912,405,080","16,380,087,256",2010.0
AA2,TWD,97999612,摩根富林明JF龍揚基金,"11,595,012,643",0.61%,22.85,"507,444,289.10","29,325",78,"29,403","1,798,687,511","3,747,691,754",2010.0
AE23,TWD,98661139,摩根富林明JF安家理財基金,"3,695,927,795",0.19%,11.0573,"334,253,524.50","2,332",81,"2,413","4,924,990,239","4,996,659,659",2010.0
AB2,TWD,99181637,摩根富林明全球平衡基金,"4,784,774,521",0.25%,15.2798,"313,144,021.10","6,427",92,"6,519","2,922,214,770","3,911,073,955",2010.0
AA1,TWD,99354335,摩根富林明JF台灣微型基金,"1,852,821,261",0.10%,20.45,"90,618,128.30","3,679",40,"3,719","556,679,222","1,059,896,882",2010.0
摩根富林明投信,,,,"131,154,966,641",6.92%,,"9,018,563,709.50","284,699","1,912","286,611","91,679,382,914","104,227,326,326",2010.0
AA1,TWD,00973762,華南永昌永昌基金,"896,139,117",0.05%,10.22,"87,699,376.20","1,386",23,"1,409","271,015,692","422,203,778",2010.0
AA1,TWD,10300929,華南永昌台灣精選基金,"314,046,289",0.02%,7.75,"40,541,017.70",623,18,641,"62,431,712","164,425,594",2010.0
AD1,TWD,13989817,華南永昌麒麟貨幣市場基金,"14,804,133,809",0.78%,11.5074,"1,286,491,488.90",320,101,421,"48,311,665,744","45,648,058,256",2010.0
AB1,TWD,18477625,華南永昌龍盈平衡基金,"112,391,384",0.01%,12.8776,"8,727,648.40",519,13,532,"42,807,011","82,348,892",2010.0
AE22,TWD,21703907,華南永昌全球亨利組合基金,"257,288,398",0.01%,12.5433,"20,511,984.90",280,17,297,"763,999,421","858,793,158",2010.0
AA2,TWD,25608720,華南永昌黃河世紀基金,"859,211,034",0.05%,10.62,"80,914,459.70","1,322",23,"1,345","1,361,089,838","1,821,733,781",2010.0
AE22,TWD,25693134,華南永昌投資級收益組合基金,"2,182,048,307",0.12%,9.8593,"221,319,610.30",434,42,476,"6,600,697,096","4,394,219,792",2010.0
AA1,TWD,26279964,華南永昌中小型基金,"3,064,481,981",0.16%,10.0,"306,515,565.00","1,267",45,"1,312","3,065,155,650",0,2010.0
AC21,TWD,48741215,華南永昌全球短期固定收益基金,"380,269,193",0.02%,11.7243,"32,434,289.50",290,18,308,"408,378,332","1,395,563,569",2010.0
AA2,TWD,48824897,華南永昌全球精品基金,"948,229,777",0.05%,10.07,"94,197,318.30","2,029",28,"2,057","244,934,321","478,692,257",2010.0
AA2,TWD,48878669A,華南永昌全球基礎建設基金(不配息),"781,657,309",0.04%,7.75,"100,804,095.91",925,23,948,"28,822,349","349,902,209",2010.0
AA2,TWD,48878669B,華南永昌全球基礎建設基金(配息),"162,361,480",0.01%,7.49,"21,672,584.00",143,7,150,"941,491","29,681,594",2010.0
AA1,TWD,48929007,華南永昌愛台灣基金,"540,469,714",0.03%,7.88,"68,553,202.95",710,21,731,"256,788,232","378,349,770",2010.0
AA2,TWD,48963047,華南永昌全球神農水資源基金,"1,817,997,519",0.10%,8.62,"210,974,145.35","2,135",33,"2,168","467,977,129","735,277,617",2010.0
AA1,TWD,92016839,華南永昌前瞻科技基金,"537,589,148",0.03%,12.16,"44,200,418.00","1,781",20,"1,801","424,717,806","500,052,407",2010.0
AD1,TWD,97971760,華南永昌鳳翔貨幣市場基金,"23,626,675,534",1.25%,15.6258,"1,512,026,743.50",334,174,508,"79,890,103,870","87,256,293,362",2010.0
華南永昌投信,,,,"51,284,989,993",2.71%,,"4,137,583,948.61","14,498",606,"15,104","142,201,525,694","144,515,596,036",2010.0
AA1,TWD,00974066,寶來二00一基金,"1,259,581,093",0.07%,37.67,"33,437,305.80","7,656",40,"7,696","647,844,191","643,277,893",2010.0
AH1,TWD,10342511,寶來新台灣基金,"137,227,853",0.01%,33.04,"4,153,000.00",199,12,211,0,"80,840,000",2010.0
AD1,TWD,13530495,寶來得寶基金,"14,506,479,747",0.77%,11.5166,"1,259,618,784.60",334,128,462,"54,535,837,724","58,357,631,201",2010.0
AA1,TWD,14542287,寶來精準中小基金,"917,616,198",0.05%,17.05,"53,817,881.70","1,927",46,"1,973","194,756,445","607,946,551",2010.0
AC12,TWD,15741262,寶來富利基金,"201,004,795",0.01%,11.1908,"17,961,662.90",55,13,68,"70,941,711","166,482,847",2010.0
AA1,TWD,17145070,寶來矽谷基金,"650,478,127",0.03%,12.71,"51,196,319.00","3,119",41,"3,160","233,634,208","420,760,834",2010.0
AG,TWD,21718388A,寶來（Ａ）全球不動產證券化基金,"978,370,022",0.05%,7.88,"124,130,832.70","1,531",58,"1,589","391,186,182","860,044,335",2010.0
AG,TWD,21718388B,寶來（Ｂ）全球不動產證券化基金,"2,699,787,263",0.14%,6.41,"421,075,072.00","2,468",41,"2,509","209,323,530","1,325,442,117",2010.0
AI2,TWD,25591306,寶來大中華價值指數基金,"1,010,246,812",0.05%,12.594,"80,219,198.00","2,053",39,"2,092","850,574,759","1,031,274,915",2010.0
AH2,TWD,25610486,寶來標智滬深300基金,"12,352,425,064",0.65%,19.45,"635,116,000.00","16,226",197,"16,423","8,141,469,960","4,279,222,500",2010.0
AA1,TWD,25614244A,寶來寶來（Ａ）基金,"347,187,048",0.02%,10.56,"32,862,196.80",331,11,342,"87,429,610","813,176,230",2010.0
AA1,TWD,25614244B,寶來寶來（Ｂ）基金,"28,947,505",0.00%,10.57,"2,739,907.90",86,3,89,"5,961,750","75,298,817",2010.0
AE22,TWD,25638920A,寶來靈活債券（Ａ）基金,"2,228,650,961",0.12%,10.35,"215,344,896.60",562,68,630,"8,141,679,796","5,968,756,341",2010.0
AE22,TWD,25638920B,寶來靈活債券（Ｂ）基金,"522,256,226",0.03%,10.3,"50,697,074.30",168,12,180,"1,025,276,833","528,017,849",2010.0
AA2,TWD,25680222,寶來新興亞洲龍頭基金,"891,032,148",0.05%,12.17,"73,189,853.80","1,237",33,"1,270","2,041,158,381","1,309,979,083",2010.0
AI2,TWD,26203825,寶來印度指數基金,"642,285,706",0.03%,10.219,"62,854,776.30",812,32,844,"92,463,928","85,573,543",2010.0
AI2,TWD,26203846,寶來印尼指數基金,"1,781,705,562",0.09%,9.388,"189,775,347.10",904,35,939,"121,117,974","274,465,203",2010.0
AI2,TWD,26203851,寶來巴西指數基金,"1,869,257,355",0.10%,9.618,"194,353,778.80","1,010",37,"1,047","260,866,649","130,661,157",2010.0
AE21,TWD,48760113,寶來全球新興市場精選組合基金,"3,186,579,782",0.17%,15.62,"204,015,574.20","5,972",56,"6,028","1,465,249,381","2,597,729,740",2010.0
AH1,TWD,48772770,寶來台灣中型100基金,"1,056,718,613",0.06%,32.02,"33,000,000.00","3,053",44,"3,097","234,000,000","527,440,000",2010.0
AE21,TWD,48789815,寶來全球ＥＴＦ成長組合基金,"1,197,543,499",0.06%,10.43,"114,798,667.90","1,769",44,"1,813","569,298,126","916,897,857",2010.0
AA2,TWD,48832550,寶來亞洲台資企業基金,"989,188,240",0.05%,9.68,"102,191,671.70","1,310",35,"1,345","193,973,880","439,682,087",2010.0
AH1,TWD,48903175,寶來傘型金融基金,"3,899,082,689",0.21%,14.3,"272,654,000.00","6,619",112,"6,731","1,659,890,000","822,145,000",2010.0
AH1,TWD,48903180,寶來傘型台商收成基金,"941,950,880",0.05%,23.19,"40,624,000.00","2,849",32,"2,881",0,"288,490,000",2010.0
AH1,TWD,48903196,寶來傘型電科基金,"1,296,309,435",0.07%,27.3,"47,488,000.00","2,537",37,"2,574","63,305,000","406,805,000",2010.0
AH1,TWD,48966213,寶來台灣高股息基金,"1,409,100,905",0.07%,27.88,"50,534,000.00","3,813",55,"3,868","235,125,000","513,605,000",2010.0
AA2,TWD,48991043,寶來環球關鍵資源基金,"234,314,436",0.01%,6.22,"37,655,529.40","1,187",30,"1,217","114,673,234","147,457,484",2010.0
AA1,TWD,92004566,寶來績效基金,"1,853,412,520",0.10%,32.63,"56,802,669.10","2,650",57,"2,707","1,166,928,388","1,430,985,166",2010.0
AD1,TWD,92017204,寶來得利基金,"13,731,566,812",0.72%,15.6423,"877,850,090.80",609,122,731,"37,369,017,471","56,327,221,696",2010.0
AH1,TWD,98764389,寶來台灣卓越50基金,"51,424,794,138",2.71%,61.33,"838,500,000.00","25,820",343,"26,163","20,521,360,000","27,599,945,000",2010.0
AB1,TWD,99346568,寶來雙盈平衡基金,"240,654,779",0.01%,12.9338,"18,606,625.50","1,006",35,"1,041","127,548,621","250,807,234",2010.0
AI1,TWD,99346928,寶來台灣加權股價指數基金,"3,213,490,886",0.17%,15.545,"206,727,564.30","3,658",55,"3,713","4,928,322,346","5,710,911,692",2010.0
AE23,TWD,99967974,寶來全球ＥＴＦ穩健組合基金,"920,051,949",0.05%,14.47,"63,586,967.20","1,196",54,"1,250","353,918,582","627,166,773",2010.0
寶來投信,,,,"128,619,299,048",6.78%,,"6,467,579,248.40","104,726","1,957","106,683","146,054,133,660","175,566,141,145",2010.0
AA1,TWD,00974241,新光台灣富貴基金,"1,056,232,519",0.06%,20.44,"51,681,788.40","3,305",44,"3,349","227,470,413","508,518,837",2010.0
AD1,TWD,01031706,新光台灣吉利貨幣市場基金,"2,501,985,715",0.13%,17.2418,"145,111,986.16",302,59,361,"3,942,611,736","4,640,864,283",2010.0
AA1,TWD,13986924,新光大三通基金,"1,868,378,545",0.10%,17.6,"106,173,734.54","4,226",42,"4,268","316,808,706","842,559,102",2010.0
